投保年龄,一次性交纳_男性,一次性交纳_女性,3年交_男性,3年交_女性,5年交_男性,5年交_女性,10年交_男性,10年交_女性,15年交_男性,15年交_女性,20年交_男性,20年交_女性,25年交_男性,25年交_女性,30年交_男性,30年交_女性
0,3343,3145,1230.0,1157.0,751.0,706.0,385.0,362.0,259.0,243.0,201.0,189.0,166.0,156.0,144.0,136.0
1,3402,3201,1251.0,1177.0,764.0,719.0,391.0,368.0,263.0,248.0,205.0,192.0,169.0,159.0,147.0,138.0
2,3463,3259,1274.0,1199.0,778.0,732.0,398.0,375.0,268.0,252.0,208.0,196.0,172.0,162.0,150.0,140.0
3,3526,3319,1297.0,1220.0,792.0,745.0,405.0,381.0,273.0,257.0,212.0,199.0,175.0,165.0,152.0,143.0
4,3592,3381,1321.0,1243.0,807.0,759.0,413.0,388.0,278.0,261.0,216.0,203.0,179.0,168.0,155.0,146.0
5,3659,3444,1346.0,1266.0,822.0,773.0,421.0,396.0,283.0,266.0,220.0,207.0,182.0,171.0,158.0,149.0
6,3729,3510,1371.0,1290.0,837.0,788.0,428.0,403.0,289.0,271.0,224.0,211.0,186.0,174.0,161.0,152.0
7,3800,3577,1397.0,1315.0,853.0,803.0,437.0,411.0,294.0,277.0,229.0,215.0,189.0,178.0,165.0,153.0
8,3872,3645,1424.0,1340.0,869.0,818.0,445.0,419.0,300.0,282.0,233.0,219.0,193.0,181.0,168.0,158.0
9,3946,3715,1451.0,1366.0,886.0,834.0,454.0,427.0,306.0,287.0,238.0,223.0,197.0,185.0,171.0,161.0
10,4021,3786,1479.0,1392.0,903.0,850.0,462.0,435.0,312.0,293.0,242.0,228.0,201.0,188.0,175.0,164.0
11,4098,3859,1507.0,1419.0,920.0,866.0,471.0,443.0,318.0,299.0,247.0,232.0,205.0,192.0,178.0,167.0
12,4176,3933,1536.0,1446.0,938.0,883.0,480.0,452.0,324.0,304.0,252.0,237.0,209.0,196.0,182.0,171.0
13,4255,4008,1565.0,1473.0,956.0,900.0,490.0,461.0,330.0,310.0,257.0,242.0,213.0,200.0,186.0,174.0
14,4335,4084,1594.0,1502.0,974.0,917.0,499.0,470.0,337.0,316.0,262.0,246.0,217.0,204.0,190.0,178.0
15,4417,4162,1624.0,1530.0,992.0,934.0,509.0,479.0,343.0,323.0,267.0,251.0,222.0,208.0,194.0,182.0
16,4500,4241,1655.0,1559.0,1011.0,952.0,518.0,488.0,350.0,329.0,273.0,256.0,226.0,213.0,198.0,186.0
17,4585,4321,1686.0,1589.0,1030.0,971.0,529.0,497.0,357.0,335.0,278.0,261.0,231.0,217.0,202.0,190.0
18,4671,4403,1718.0,1619.0,1050.0,989.0,539.0,507.0,364.0,342.0,284.0,267.0,236.0,221.0,206.0,194.0
19,4757,4486,1750.0,1650.0,1070.0,1008.0,549.0,517.0,371.0,349.0,289.0,272.0,241.0,226.0,211.0,198.0
20,4845,4570,1782.0,1681.0,1089.0,1027.0,559.0,527.0,378.0,355.0,295.0,277.0,245.0,231.0,215.0,203.0
21,4934,4655,1815.0,1712.0,1110.0,1046.0,570.0,537.0,385.0,362.0,301.0,283.0,251.0,236.0,220.0,207.0
22,5024,4741,1849.0,1744.0,1130.0,1066.0,581.0,547.0,393.0,370.0,307.0,289.0,256.0,241.0,225.0,212.0
23,5116,4829,1883.0,1776.0,1151.0,1086.0,591.0,557.0,400.0,377.0,313.0,295.0,261.0,246.0,230.0,217.0
24,5209,4918,1917.0,1809.0,1172.0,1106.0,603.0,568.0,408.0,384.0,319.0,301.0,267.0,251.0,235.0,222.0
25,5303,5009,1952.0,1843.0,1194.0,1127.0,614.0,579.0,416.0,392.0,326.0,307.0,272.0,257.0,241.0,227.0
26,5399,5100,1987.0,1877.0,1216.0,1148.0,625.0,590.0,424.0,400.0,333.0,314.0,278.0,263.0,246.0,232.0
27,5496,5193,2023.0,1911.0,1238.0,1169.0,637.0,601.0,432.0,408.0,340.0,321.0,285.0,269.0,252.0,238.0
28,5594,5287,2060.0,1946.0,1260.0,1191.0,649.0,613.0,441.0,416.0,347.0,328.0,291.0,275.0,258.0,244.0
29,5694,5382,2097.0,1982.0,1283.0,1213.0,662.0,625.0,450.0,425.0,354.0,335.0,298.0,282.0,265.0,250.0
30,5795,5478,2135.0,2018.0,1307.0,1235.0,674.0,637.0,459.0,434.0,362.0,342.0,305.0,288.0,272.0,256.0
31,5898,5575,2173.0,2054.0,1331.0,1257.0,687.0,649.0,468.0,443.0,370.0,350.0,312.0,295.0,279.0,262.0
32,6001,5672,2212.0,2090.0,1355.0,1280.0,700.0,662.0,478.0,452.0,378.0,358.0,320.0,302.0,287.0,269.0
33,6106,5769,2251.0,2127.0,1379.0,1303.0,714.0,675.0,488.0,461.0,387.0,366.0,328.0,309.0,295.0,276.0
34,6212,5868,2291.0,2164.0,1404.0,1327.0,728.0,688.0,498.0,471.0,396.0,374.0,336.0,316.0,303.0,283.0
